global_id,ifc_type,name,x_m,y_m,z_m,x_min_m,y_min_m,z_min_m,x_max_m,y_max_m,z_max_m,length_m,width_m,height_m,material,thickness_m,load_bearing,is_external,reference
11Je14my97hBHYwYXU$Rip,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072306,86.141,10.48,6.255,85.341,10.355,4.55,86.941,10.605,7.96,1.6,0.25,3.41,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rj1,IfcWallStandardCase,Basiswand:RB_W_OB_ATK_200:3072320,36.83,9.551,13.295,36.73,-4.599,13.08,36.93,23.701,13.51,0.2,28.3,0.43,IfcMaterialLayerSetUsage,0.2,False,False,RB_W_OB_ATK_200
11Je14my97hBHYwYXU$Rj0,IfcWallStandardCase,Basiswand:RB_W_OB_ATK_200:3072321,60.13,23.601,13.295,36.93,23.501,13.08,83.33,23.701,13.51,46.4,0.2,0.43,IfcMaterialLayerSetUsage,0.2,False,False,RB_W_OB_ATK_200
11Je14my97hBHYwYXU$Rj3,IfcWallStandardCase,Basiswand:RB_W_OB_ATK_200:3072322,83.23,9.451,13.295,83.13,-4.599,13.08,83.33,23.501,13.51,0.2,28.1,0.43,IfcMaterialLayerSetUsage,0.2,False,False,RB_W_OB_ATK_200
11Je14my97hBHYwYXU$Rj2,IfcWallStandardCase,Basiswand:RB_W_OB_ATK_200:3072323,60.03,-4.499,13.295,36.93,-4.599,13.08,83.13,-4.399,13.51,46.2,0.2,0.43,IfcMaterialLayerSetUsage,0.2,False,False,RB_W_OB_ATK_200
11Je14my97hBHYwYXU$Rj5,IfcWallStandardCase,Basiswand:RB_W_MW_KS_240:3072324,84.335,10.485,2.175,83.33,10.365,0.05,85.341,10.605,4.3,2.011,0.24,4.25,IfcMaterialLayerSetUsage,0.24,False,False,RB_W_MW_KS_240
11Je14my97hBHYwYXU$Rj4,IfcWallStandardCase,Basiswand:RB_W_MW_KS_240:3072325,84.335,10.485,6.255,83.33,10.365,4.55,85.341,10.605,7.96,2.011,0.24,3.41,IfcMaterialLayerSetUsage,0.24,False,False,RB_W_MW_KS_240
11Je14my97hBHYwYXU$RkL,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072404,40.98,23.433,-5.4,39.28,23.308,-6.0,42.68,23.558,-4.8,3.4,0.25,1.2,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$RkK,IfcWallStandardCase,Basiswand:RB_W_OB_ATK_200:3072405,85.16,10.501,8.63,83.33,10.401,8.18,86.991,10.601,9.08,3.661,0.2,0.9,IfcMaterialLayerSetUsage,0.2,False,False,RB_W_OB_ATK_200
11Je14my97hBHYwYXU$RkN,IfcWallStandardCase,Basiswand:RB_W_OB_ATK_200:3072406,87.091,5.276,8.63,86.991,-0.049,8.18,87.191,10.601,9.08,0.2,10.65,0.9,IfcMaterialLayerSetUsage,0.2,False,False,RB_W_OB_ATK_200
